location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
IBE_001,40.01313611695219,-2.1999912602036207,N-420,4,Sufficient
IBE_002,38.46530634503403,-0.5832002251751124,A-7,3,Sufficient
IBE_003,42.470048138370856,-6.873236062310073,N-120,3,Sufficient
IBE_004,41.33915338946904,-5.722460506413967,A-66,3,Congested
IBE_005,39.53002968329984,-2.816127885371032,N-420,3,Congested
IBE_006,39.41008398711281,-5.042414580901462,N-502,3,Congested
IBE_007,41.94433773575346,-5.634713319327231,A-66,2,Congested
IBE_008,40.32624122860941,-5.012126115987996,N-502,2,Congested
IBE_009,39.93761639678939,-2.010503924159101,N-420,2,Congested
IBE_010,37.67717081188101,-6.184607687628519,N-630,2,Congested
IBE_011,42.36364859558351,-3.3640458894360576,N-120,2,Congested
IBE_012,39.09686708781576,-1.800314827783846,N-322,2,Congested
